european_capital_cities;p_age;p_gender;p_education;p_country;p_id;uri
brussels;25;Female;Bachelor's degree;Russia;86;http://dbpedia.org/resource/Brussels
lisbon;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Lisbon
warsaw;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Warsaw
rome;24;Female;High school degree or equivalent;Germany;87;http://dbpedia.org/resource/Rome
berlin;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Berlin
kiev;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Kiev
warsaw;26;Male;Bachelor's degree;Germany;88;http://dbpedia.org/resource/Warsaw
berlin;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Berlin
paris;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Paris
madrid;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Madrid
copenhagen;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Copenhagen
paris;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Paris
madrid;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Madrid
berlin;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Berlin
paris;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Paris
madrid;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Madrid
berlin;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Berlin
amsterdam;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Amsterdam
copenhagen;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Copenhagen
london;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/London
madrid;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Madrid
rome;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Rome
london;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/London
berlin;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Berlin
warsaw;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Warsaw
berlin;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Berlin
london;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/London
paris;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Paris
helsinki;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Helsinki
berlin;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Berlin
rome;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Rome
berlin;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Berlin
paris;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Paris
london;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/London
reykjavik;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Reykjavík
oslo;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Oslo
helsinki;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Helsinki
berlin;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Berlin
