music_genres;p_age;p_gender;p_education;p_country;p_id;uri
rap;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Hip_hop_music
rock;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Rock_music
soul;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Soul_music
jazz;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Jazz
indie;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Indie_rock
classical;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Classical_music
pop;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Pop_music
carrot;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Carrot
mushroom;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Mushroom_Records
pepper;23;Female;Master's degree;England;101;http://dbpedia.org/resource/Black_pepper
techno;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Techno
rock;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/Rock_music
house;26;Female;Bachelor's degree;Germany;102;http://dbpedia.org/resource/House_music
jazz;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Jazz
classic;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Classical_music
heavy metal;70;Female;Master's degree;Germany;103;http://dbpedia.org/resource/Heavy_metal_music
hip hop;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Hip_hop_music
rock;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Rock_music
pop;33;Female;Master's degree;Iran;104;http://dbpedia.org/resource/Pop_music
pop;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Pop_music
metal;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Heavy_metal_music
hip hop;59;Male;Doctorate (e.g. PhD);Germany;105;http://dbpedia.org/resource/Hip_hop_music
rock;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Rock_music
hiphop;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Hip_hop_music
classic;47;Female;Doctorate (e.g. PhD);Germany;106;http://dbpedia.org/resource/Classical_music
pop;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Pop_music
jazz;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Jazz
classic;50;Female;Doctorate (e.g. PhD);Germany;107;http://dbpedia.org/resource/Classical_music
jazz;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Jazz
swing;45;Female;Doctorate (e.g. PhD);Germany;108;http://dbpedia.org/resource/Swing_music
