fast_food;p_age;p_gender;p_education;p_country;p_id;uri
kebab;21;Male;High school degree or equivalent;germany;82;http://dbpedia.org/resource/Kebab
hamburger;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Hamburger
french fries;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/French_fries
pizza;23;Female;Bachelor's degree;germany;83;http://dbpedia.org/resource/Pizza
hamburger;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Hamburger
sandwich;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Sandwich
pizza;28;Female;Master's degree;germany;84;http://dbpedia.org/resource/Pizza
hamburger;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Hamburger
french fries;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/French_fries
milkshake;25;Female;Master's degree;germany;85;http://dbpedia.org/resource/Milkshake
hamburger;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Hamburger
kebab;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Kebab
falafel;25;Female;Bachelor's degree;russia;86;http://dbpedia.org/resource/Falafel
pizza;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Pizza
hamburger;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Hamburger
kebab;24;Female;High school degree or equivalent;germany;87;http://dbpedia.org/resource/Kebab
hamburger;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Hamburger
pizza;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Pizza
sushi;26;Male;Bachelor's degree;germany;88;http://dbpedia.org/resource/Sushi
hamburger;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Hamburger
french fries;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/French_fries
chick nuggets;27;Female;Master's degree;germany;89;http://dbpedia.org/resource/Chicken_nugget
hamburger;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Hamburger
kebab;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Kebab
pizza;25;Male;Bachelor's degree;germany;90;http://dbpedia.org/resource/Pizza
hamburger;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Hamburger
hot dog;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/Hot_dog
french fries;25;Male;High school degree or equivalent;germany;91;http://dbpedia.org/resource/French_fries
hamburger;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Hamburger
pizza;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/Pizza
french fries;28;Male;High school degree or equivalent;germany;92;http://dbpedia.org/resource/French_fries
