us_companies;p_age;p_gender;p_education;p_country;p_id;uri
nike;27;Female;Master's degree;Germany;89;http://dbpedia.org/resource/Nike,_Inc.
blackrock;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Blackrock_College
cisco;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Cisco_Systems
alphabet;25;Male;Bachelor's degree;Germany;90;http://dbpedia.org/resource/Alphabet_Inc.
microsoft;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Microsoft
apple;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/Apple_Inc.
fedex;25;Male;High school degree or equivalent;Germany;91;http://dbpedia.org/resource/FedEx
tesla;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Tesla,_Inc.
amazon;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Amazon_(company)
apple;28;Male;High school degree or equivalent;Germany;92;http://dbpedia.org/resource/Apple_Inc.
walmart;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Walmart
amazon;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Amazon_(company)
target;47;Female;Bachelor's degree;England;93;http://dbpedia.org/resource/Target_Corporation
alphabet;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Alphabet_Inc.
apple;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Apple_Inc.
pinterest;38;Male;Bachelor's degree;Germany;94;http://dbpedia.org/resource/Pinterest
tesla;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/Tesla,_Inc.
jp morgan;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/JPMorgan_Chase
gm;40;Female;Bachelor's degree;China;95;http://dbpedia.org/resource/General_Motors
apple;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Apple_Inc.
amazon;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Amazon_(company)
microsoft;28;Female;High school degree or equivalent;Pakistan;96;http://dbpedia.org/resource/Microsoft
google;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Google
tesla;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Tesla,_Inc.
amazon;48;Female;Master's degree;Germany;97;http://dbpedia.org/resource/Amazon_(company)
ford;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Ford_Motor_Company
amazon;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Amazon_(company)
apple;26;Male;Less than a high school degree;Germany;98;http://dbpedia.org/resource/Apple_Inc.
amazon;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Amazon_(company)
tiffany & co.;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Tiffany_&_Co.
whole foods;26;Female;High school degree or equivalent;Germany;99;http://dbpedia.org/resource/Whole_Foods_Market
craft heinz;45;Female;Bachelor's degree;USA;100;http://dbpedia.org/resource/Kraft_Heinz
