"euroSight","name"
"http://dbpedia.org/resource/Balmoral_Hotel","Balmoral Hotel"
"http://dbpedia.org/resource/Chennai_Egmore_railway_station","Chennai Egmore railway station"
"http://dbpedia.org/resource/Federal_Building_and_United_States_Courthouse_(Albuquerque,_New_Mexico)","Federal Building and United States Courthouse (Albuquerque, New Mexico)"
"http://dbpedia.org/resource/Former_Chicago_Historical_Society_Building","Former Chicago Historical Society Building"
"http://dbpedia.org/resource/Marine_Barracks,_Washington,_D.C.","Marine Barracks, Washington, D.C."
"http://dbpedia.org/resource/New_York_Cancer_Hospital","New York Cancer Hospital"
"http://dbpedia.org/resource/Vikingskipet","Vikingskipet"
"http://dbpedia.org/resource/The_Mutiny_Hotel","The Mutiny Hotel"
"http://dbpedia.org/resource/90_West_Street","90 West Street"
"http://dbpedia.org/resource/Emperor's_Mosque","Emperor's Mosque"
"http://dbpedia.org/resource/Maunsell_Forts","Maunsell Forts"
"http://dbpedia.org/resource/Mole_Antonelliana","Mole Antonelliana"
"http://dbpedia.org/resource/Odawara_Castle","Odawara Castle"
"http://dbpedia.org/resource/5th_Avenue_Theatre","5th Avenue Theatre"
"http://dbpedia.org/resource/Customs_House,_Sydney","Customs House, Sydney"
"http://dbpedia.org/resource/Michie_Tavern","Michie Tavern"
"http://dbpedia.org/resource/Muar_Second_Bridge","Muar Second Bridge"
"http://dbpedia.org/resource/Palace_Hotel,_San_Francisco","Palace Hotel, San Francisco"
"http://dbpedia.org/resource/Santarpio's_Pizza","Santarpio's Pizza"
"http://dbpedia.org/resource/Glyndon_Hotel","Glyndon Hotel"
"http://dbpedia.org/resource/The_Globe_of_Science_and_Innovation","The Globe of Science and Innovation"
"http://dbpedia.org/resource/Boll_Weevil_Monument","Boll Weevil Monument"
"http://dbpedia.org/resource/Carbide_&_Carbon_Building","Carbide & Carbon Building"
"http://dbpedia.org/resource/Gold_Dome","Gold Dome"
"http://dbpedia.org/resource/Harbour_Centre","Harbour Centre"
"http://dbpedia.org/resource/New_Orleans_Cotton_Exchange","New Orleans Cotton Exchange"
"http://dbpedia.org/resource/Old_Supreme_Court_Building,_Singapore","Old Supreme Court Building, Singapore"
"http://dbpedia.org/resource/Russian_Fort_Elizabeth","Russian Fort Elizabeth"
"http://dbpedia.org/resource/Beetham_Tower,_Manchester","Beetham Tower, Manchester"
"http://dbpedia.org/resource/Bok_Tower_Gardens","Bok Tower Gardens"
"http://dbpedia.org/resource/Cathay_Building","Cathay Building"
"http://dbpedia.org/resource/Clock_Tower,_Hong_Kong","Clock Tower, Hong Kong"
"http://dbpedia.org/resource/Goddard_Rocket_Launching_Site","Goddard Rocket Launching Site"
"http://dbpedia.org/resource/Grand_Hotel_(Taipei)","Grand Hotel (Taipei)"
"http://dbpedia.org/resource/Independence_Palace","Independence Palace"
"http://dbpedia.org/resource/Jakarta_Kota_railway_station","Jakarta Kota railway station"
"http://dbpedia.org/resource/Rookery_Building","Rookery Building"
"http://dbpedia.org/resource/Westminster_Castle","Westminster Castle"
"http://dbpedia.org/resource/World's_Tallest_Thermometer","World's Tallest Thermometer"
"http://dbpedia.org/resource/Al_Koot_Fort","Al Koot Fort"
"http://dbpedia.org/resource/Caldwell-Johnson-Morris_Cottage","Caldwell-Johnson-Morris Cottage"
"http://dbpedia.org/resource/Old_Hattiesburg_High_School","Old Hattiesburg High School"
"http://dbpedia.org/resource/Armoury_(Siġġiewi)","Armoury (Siġġiewi)"
"http://dbpedia.org/resource/Gorica_Bridge","Gorica Bridge"
"http://dbpedia.org/resource/Kolonna_Eterna","Kolonna Eterna"
"http://dbpedia.org/resource/Heyworth_Building","Heyworth Building"
"http://dbpedia.org/resource/Japanese_General_Government_Building,_Seoul","Japanese General Government Building, Seoul"
"http://dbpedia.org/resource/Høvik_Church","Høvik Church"
"http://dbpedia.org/resource/Old_Cathedral_of_Quelimane","Old Cathedral of Quelimane"
"http://dbpedia.org/resource/Kingswear_Daymark","Kingswear Daymark"
"http://dbpedia.org/resource/Nottingham_Royal_Concert_Hall","Nottingham Royal Concert Hall"
"http://dbpedia.org/resource/Napp_Research_Centre","Napp Research Centre"
"http://dbpedia.org/resource/The_National_(building)","The National (building)"
"http://dbpedia.org/resource/Tree_Studio_Building_and_Annexes","Tree Studio Building and Annexes"
"http://dbpedia.org/resource/Trinity_Church_on_the_Green","Trinity Church on the Green"
"http://dbpedia.org/resource/Plaza_Perangsang","Plaza Perangsang"
"http://dbpedia.org/resource/Santa_Margerita_Chapel","Santa Margerita Chapel"
"http://dbpedia.org/resource/Admiral_Theatre_(Seattle)","Admiral Theatre (Seattle)"
